Cultivar Name,Female Parent,Male Parent,Breeder,Year
ex menton,not registered,0,0,0
exoniensis,0,0,0,0
eye of the storm,morning star,gritensis,henk wouters,2005
eyleen,tucumanensis,princeps,leopold sevcik,0
eynsford gem,caerulea,princeps,0,0
fairchild,syn.: vitifolia,0,0,0
fantasma,exoniensis,umbilicata,henk wouters,2009
fata aurora,not registered,sport of fata confetto,maurizio vecchia,0
fata cerulea,not registered,fata confetto,caerulea constance eliott,maurizio vecchia
fata chiara,not registered / extinct,fata confetto,???,maurizio vecchia
fata confetto,guglielmo betto,incarnata,maurizio vecchia,2007
fata cristallo,sport of fata confetto,maurizio vecchia,0,0
fata del mare,not registered / extinct,fata confetto,edmundoi,maurizio vecchia
fata mistero,not registered,fata confetto,???,maurizio vecchia
fata morgana,not registered,fata confetto,sprucei,maurizio vecchia
fata nivea,not registered,fata confetto,tucumanensis,maurizio vecchia
fata perduta,not registered,fata confetto,edmundoi,maurizio vecchia
fata selvaggia,not registered,fata confetto,blue velvet,maurizio vecchia
fata serena,not registered,fata confetto,incarnata,maurizio vecchia
fata violetta,not registered,fata confetto,edmundoi (pink),maurizio vecchia
fata zaffiro,not registered,fata confetto,cincinnata,maurizio vecchia
father damian,incarnata,white star,raoul & patrizia vranken-smeets,2011
fertility,not registered,incarnata,cincinnata,roland fischer
fiametta,not registered,asterix,sprucei,maurizio vecchia
first love,kermesina,oerstedii,henk wouters,2005
fixstern,amethyst,caerulea constance eliott,monika gottschalk,1991
fledermouse,biflora,perfoliata,patrick worley,1984
flirtation,gritensis,loefgrenii corupa,vanderplank,2007
floral fountain,phoenicea,actinia,rick mccain,1989
flora sabureau 1,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 2,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 3,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 4,kew gardens,princeps buzios,sebastien sabureau,2014
flora sabureau 5,kew gardens,princeps buzios,sebastien sabureau,2014
florida,selection of edulis,klaas kingma,0,0
flottbekstern,0,0,0,0
flying v,pendulifolia,perfoliata,myles irvine,2001
fourth of july,violacea,kermesina,henk wouters,2005
fragrance,selection of caerulea,0,0,0
fragrans,selection of alata,0,0,0
fragrant beauty,0,0,0,0
francesco iii° deste,not registered,clear sky,amethystina santa tereza,maurizio vecchia
franka,creamy,aff. oerstedii,leopold sevcik,1996
freckle face,princeps,cincinnata,rick mccain,1990
fredrick,edulis brazilian gold,edulis kahuna,patrick worley,1993
frits,princeps,caerulea,0,0
frizzle king,selection of cincinnata,cor laurens,2000,0
frizzle queen,selection of cincinnata,cor laurens,2000,0
frosty,selection of edulis,0,0,0
fructifera,selection of caerulea,0,0,0
gabriela,gardneri,gibertii,margarete m. souza,2010
gaia,kew gardens,menispermifolia,maurizio vecchia,2007
gala,selection of caerulea,axel frank,2004,0
galaxy,princeps,cincinnata,rick mccain,1990
galea,selection of edulis,0,0,0
galina,cincinnata,incarnata,leopold sevcik,0
garayaglia,natural hybrid between alata and quadrangularis,chris howell,0,0
gert huiting,fata confetto,caerulea,ladislav cavis,2022
gian,incarnata,celine,mathias tobler / stefan rhyner,2007
giftzwerg,citrina,conzattiana,martin wettges,0
gillian wren,selection of caerulea,gillian wren,2002,0
guilietta,extinct,incarnata,edmundoi,maurizio vecchia
gizmo,foetida,palmeri,j. segalen,0
glacier,fata confetto,byron beauty,graeme boocock,2021
globe,selection of edulis,0,0,0
gloria moreno,mixta,manicata,patrick worley,0
gocce di cielo,violacea victoria,caerulea,stefania mattiuzzo,2017
gold star / golden star,selection of edulis,emil kugler,0,0
golden gate / san francisco,selection of mixta,0,0,0
golden giant,selection of edulis,0,0,0
golden glow,manicata,pinnatistipula,patrick worley,1996
golden jubilee,capsularis,citrina,martin wills,2004
golden nugget,selection of edulis,0,0,0
golden star,selection of edulis,emil kugler,0,0
gote rosse,trisecta,manicata,engelo ciacciulli,2020
gontieri,0,0,0,0
grace ann,peter lawrence,cincinnata,ronald boender,2007
grand duchess,gritensis,loefgrenii iporanga,henk wouters,2005
grandiflora,invalid name,selection of caerulea,0,0
grandioso,insignis,pinnatistipula,henk wouters,2007
gratia,princeps,cincinnata,harry reimann,1997
green lace,edulis black knight,cincinnata,patrick worley,1995
guglielmo betto,maurizio vecchia,0,0,0
hana,caerulea constance eliott,shirley,leopold sevcik,0
hardy red,invalid name,incarnata,princeps,guido van herck
harlekin,mooreana,amethystina,volker lorenz,2004
harmonie daybreak,arida,palmeri var. sublanceolata,ethan nielsen,2007
hartmuts blue violett,not registered,probably synonym for amethyst,0,0
hartwissiana,selection of caerulea (white),0,0,0
hawaiian yellow,selection of edulis,0,0,0
heavenly blue,purple rain,caerulea,cor laurens,2001
helena,tucumanensis,aff. oerstedii,leopold sevcik,1993
hematite,sanguinolenta,capsularis,vanderplank,1989
herman paraguay,selection of cincinnata,0,0,0
hermin,caerulea,decaisneana,van der steeg,0
hertensprong,0,0,0,0
hildegard,not registered,violetta,caerulea,(?)
hillery,0,0,0,0
