Cultivar Name,Female Parent,Male Parent,Breeder,Year
intention,incarnata,cincinnata (4n),igor lyannoy,?
intrigue,ampullacea,(tripartita var. mollissima x mixta),patrick worley,1996
inverleith,vitifolia,incarnata,andrew ensoll,?
iporanga,selection of loefgrenii,?,?,?
iralda,ben poiriers,?,?,?
irene,peter lawrence,cincinnata,ronald boender,2007
iridescence,((incense x byron beauty) x incarnata alba),incarnata,hal love,2015
iris,?,?,?,?
irma,amethyst,(incarnata x princeps),leopold sevcik,?
isis,?,?,eric wortman / chrystal stone,?
iubilaeum,incarnata,caerulea,maurizio vecchia,?
ivona,?,?,?,?
ivy waves,coriacea,suberosa,robert knight,2000
jala,?,?,?,?
jalouise,?,?,stefania mattiuzzo,?
jana,incarnata,caerulea,leopold sevcik,1995
jane lindsay,retipetala,incarnata,jane lindsay / john vanderplank,?
janus,amethystina minas gerais,(loefgrenii x caerulea),crystal stone / eric wortman,2011
jara,caerulea,purple haze,roland fischer,1998
jardin jungle,sweet surrender,caerulea,charles boulanger,2017
java,selection of laurifolia,robert knight / c.w. howell,1989,?
jayne t,capsularis,conzattiana,martin wills,2005
jeanette,amethyst,caerulea,patrick worley,1982
jeeny,cincinnata,caerulea constance eliott,leopold sevcik,1993
jelly joker,cincinnata,umbilicata,cor laurens,1999
jendayee,vitifolia,coccinea,sebastien sabureau,2010
jennifer grace,quadriglandulosa,poslae,ronald boender,2007
jhovi,?,?,?,?
joan marie,peter lawrence,cincinnata,ronald boender,2007
joanne,kermesina,actinia,shawn mattison,2015
jocelyne beroard,lilac sunset,princeps,sebastien sabureau,2014
john crow,subpeltata,pallens,martin wills,2004
john innes,quadrangularis,princeps,a.k. beckett,196?
john kidd,jorullensis,perfoliata,john vanderplank,2016
john knorr,edmundoi,amethystina minas gerais,arghya gardens,?
john spalding,?,?,?,?
jolana,(incarnata x princeps),caerulea,?,?
jolie,?,?,?,?
josefine,incarnata,caerulea,emil kugler,1995
joseph proctor,incarnata texas giant,caerulea constance eliott,hal love,?
jubilo,gritensis,sprucei,?,?
jules dierckx,incarnata,white star,raoul & patrizia vranken-smeets,2011
justina,bessy,caerulea,leopold sevcik,1996
justine lyons,star of bristol,purple haze,myles irvine,2004
jutta,umbilicata,tucumanensis,henk wouters,2003
kahuna,selection of edulis,?,patrick worley rick mccain,?
kaiserin eugenia,syn.: imperatrice eugenia,?,?,?
kanga,edulis,incarnata,david l. evans,?
kangason,selection of kanga,david l. evans,?,?
karen,parritae,antioquiensis,carlos ibarra,2016
karga,incense,incarnata,kj. showers,?
karen jacobsen,incarnata,lehmanii,rick mccain,1992
karla,cincinnata,?,leopold sevcik,1996
kate adie,tucumanensis,sprucei,john vanderplank,2001
kate roberts,sanguinolenta,capsularis,martin wills,2005
katherina,alata,quadrangularis,leopold sevcik,1993
kazi,incarnata,princeps,leopold sevcik,?
ken,guido van herck,?,?,?
kera,?,?,?,?
kermameth,kermesina,amethystina,?,?
kew gardens,syn.: kewensis,caerulea,kermesina,?
king willem alexander 6,subpeltata,gritensis,henk wouters,2001
klara,(tucumanensis x princeps),caerulea grandiflora,leopold sevcik,1996
klasonius,?,?,?,?
kliott,klara,caerulea constance eliott,raoul vranken,?
knight,selection of edulis,?,?,?
kudos,kew gardens,violacea,david costen,?
kunhuta,decaisneana,caerulea,leopold sevcik,?
kunigunde,?,?,leopold sevcik,1998
kursk star,alata,caerulea,alexei miroshnichenko,2019
laakdal,incarnata,white star,raoul & patrizia vranken-smeets,2011
labgirl,umbilicata,oerstedii var. choconiana,roland fischer,?
la brunella,kermesina,amethystina sancta tereza,maurizio vecchia,?
lacey,selection of edulis,?,?,?
lada,cincinnata,caerulea,leopold sevcik,1993
lady camille,thuraia,?,mark stratton,2008
lady cornelia everdina,garckei,caerulea avalanche,rob mcphail,2021
lady in red,lady margaret,vitifolia,henk wouters,2005
lady margaret,coccinea,incarnata,tim skimina,1996
la fenice,edmundoi (pink),caerulea pierre pomie,maurizio vecchia,?
lakdal,incarnata,white star,raoul vranken / patrizia vranken-smeets,?
la lucchese,fata confetto,kermesina,maurizio vecchia,2008
lambiekins,emil kugler,loefgrenii iporanga,myles irvine,2006
lamepiana,vitifolia,hatschbachii,aline pinto dos santos,2022
la morellina,asterix,amethystina minas gerais,maurizio vecchia,2007
la mortola,?,?,?,?
lana,kermesina,actinia,shawn mattison,2014
lana 2,kermesina,actinia,shawn mattison,2015
lanphiers stermer,selection of edulis,?,?,?
lapis lazuli,selection of p.caerulea,?,?,?
laranja,selection of P. parritae,?,carlos rendon,?
la reina maxima,miniata,alata,?,?
la serenissima,edmundoi,caerulea constance eliott,maurizio vecchia,?
la stravaganza,morning star,sprucei,maurizio vecchia,?
latifolia,invalid,syn.: decaisneana,?,?
la triestina,purple pendulum,white mirror,raoul vranjen / patrizia vranken-smeets,2011
laura,decaisneana,caerulea constance eliott,leopold sevcik,1998
laura torres,exoniensis,luzmarina,carlos ibarra,?
laurens laurens,purple rain,avalanche,cor laurens,2002
lavender lady,?,?,?,?
la venexiana,edmundoi,caerulea pierre pomie,maurizio vecchia,2007
lawsoniana,princeps,alata,masters,1868
lead hill,selection of P. incarnata,?,?,?
leida,incarnata,cincinnata (dark pollen),maurizio vecchia,2005
lemicheziii / lemischeziana,?,?,sir joseph paxton,1847
lena sc.,trifasciata,misera,andreas beck,2021
lia vallini,fata confetto,white star,raoul & patrizia vranken-smeets,2011
libuse,incarnata,princeps,leopold sevcik,1993
light blue,selection of caerulea,?,?,?
light crimson,?,?,?,?
